playerId,skaterFullName,teamAbbrevs,positionCode,gamesPlayed,goals,assists,points,birthCity,birthCountryCode,birthDate,birthStateProvinceCode,draftOverall,draftRound,draftYear,firstSeasonForGameType,height,isInHallOfFameYn,lastName,nationalityCode,shootsCatches,weight,Last Season,epochGP,epochGoals,epochAssists,epochPoints
8471675,Sidney Crosby,PIT,C,68,29,45,74,Cole Harbour,CAN,1987-08-07,NS,1.0,1.0,2005.0,20052006,71,N,Crosby,CAN,L,200,2025-2026,1260,579,960,1539
8471214,Alex Ovechkin,WSH,L,82,32,32,64,Moscow,RUS,1985-09-17,,1.0,1.0,2004.0,20052006,75,N,Ovechkin,RUS,R,238,2025-2026,1410,831,658,1489
8474141,Patrick Kane,DET,R,67,16,41,57,Buffalo,USA,1988-11-19,NY,1.0,1.0,2007.0,20072008,70,N,Kane,USA,L,176,2025-2026,1369,508,892,1400
8471215,Evgeni Malkin,PIT,C,56,19,42,61,Magnitogorsk,RUS,1986-07-31,,2.0,1.0,2004.0,20062007,77,N,Malkin,RUS,L,213,2025-2026,1191,500,822,1322
8474564,Steven Stamkos,NSH,C,82,42,24,66,Markham,CAN,1990-02-07,ON,1.0,1.0,2008.0,20082009,73,N,Stamkos,CAN,R,193,2025-2026,1246,624,632,1256
8471685,Anze Kopitar,LAK,C,67,12,26,38,Jesenice,SVN,1987-08-24,,11.0,1.0,2005.0,20062007,75,N,Kopitar,SVN,L,225,2025-2026,1449,432,823,1255
8478402,Connor McDavid,EDM,C,82,48,90,138,Richmond Hill,CAN,1997-01-13,ON,1.0,1.0,2015.0,20152016,73,N,McDavid,CAN,L,194,2025-2026,794,409,811,1220
8475166,John Tavares,TOR,C,82,31,40,71,Mississauga,CAN,1990-09-20,ON,1.0,1.0,2009.0,20092010,73,N,Tavares,CAN,L,217,2025-2026,1266,525,660,1185
8473512,Claude Giroux,OTT,R,82,14,35,49,Hearst,CAN,1988-01-12,ON,22.0,1.0,2006.0,20072008,71,N,Giroux,CAN,R,186,2025-2026,1345,379,786,1165
8477492,Nathan MacKinnon,COL,C,80,53,74,127,Halifax,CAN,1995-09-01,NS,1.0,1.0,2013.0,20132014,72,N,MacKinnon,CAN,R,200,2025-2026,950,420,722,1142
8476453,Nikita Kucherov,TBL,R,76,44,86,130,Maykop,RUS,1993-06-17,,58.0,2.0,2011.0,20132014,72,N,Kucherov,RUS,L,173,2025-2026,879,401,723,1124
8477934,Leon Draisaitl,EDM,C,65,35,62,97,Cologne,DEU,1995-10-27,,3.0,1.0,2014.0,20142015,74,N,Draisaitl,DEU,L,209,2025-2026,855,434,619,1053
8470794,Joe Pavelski,DAL,C,82,27,40,67,Plover,USA,1984-07-11,WI,205.0,7.0,2003.0,20062007,73,N,Pavelski,USA,R,196,2023-2024,1286,462,578,1040
8473419,Brad Marchand,FLA,L,52,27,27,54,Halifax,CAN,1988-05-11,NS,71.0,3.0,2006.0,20092010,69,N,Marchand,CAN,L,180,2025-2026,1152,451,583,1034
8473563,Nicklas Backstrom,WSH,C,8,0,1,1,Gavle,SWE,1987-11-23,,4.0,1.0,2006.0,20072008,73,N,Backstrom,SWE,L,202,2023-2024,1105,271,762,1033
8473994,Jamie Benn,DAL,L,60,15,21,36,Victoria,CAN,1989-07-18,BC,129.0,5.0,2007.0,20092010,75,N,Benn,CAN,L,210,2025-2026,1252,414,578,992
8473548,Phil Kessel,VGK,R,82,14,22,36,Madison,USA,1987-10-02,WI,5.0,1.0,2006.0,20062007,71,N,Kessel,USA,R,208,2022-2023,1216,402,561,963
8478550,Artemi Panarin,"NYR,LAK",L,78,28,56,84,Korkino,RUS,1991-10-30,,,,,20152016,72,N,Panarin,RUS,R,176,2025-2026,830,330,624,954
8471218,Blake Wheeler,NYR,R,54,9,12,21,Plymouth,USA,1986-08-31,MN,5.0,1.0,2004.0,20082009,77,N,Wheeler,USA,R,222,2023-2024,1172,321,622,943
8475168,Matt Duchene,DAL,C,57,16,29,45,Haliburton,CAN,1991-01-16,ON,3.0,1.0,2009.0,20092010,71,N,Duchene,CAN,L,211,2025-2026,1195,387,549,936
8474578,Erik Karlsson,PIT,D,75,15,51,66,Landsbro,SWE,1990-05-31,,15.0,1.0,2008.0,20092010,72,N,Karlsson,SWE,R,185,2025-2026,1159,215,721,936
8477956,David Pastrnak,BOS,R,77,29,71,100,Havirov,CZE,1996-05-25,,25.0,1.0,2014.0,20142015,72,N,Pastrnak,CZE,R,199,2025-2026,833,420,513,933
8470612,Ryan Getzlaf,ANA,C,56,3,34,37,Regina,CAN,1985-05-10,SK,19.0,1.0,2003.0,20052006,76,N,Getzlaf,CAN,R,220,2021-2022,1018,243,679,922
8473604,Jonathan Toews,WPG,C,82,11,18,29,Winnipeg,CAN,1988-04-29,MB,3.0,1.0,2006.0,20072008,74,N,Toews,CAN,L,201,2025-2026,1149,383,529,912
8476460,Mark Scheifele,WPG,C,82,36,67,103,Kitchener,CAN,1993-03-15,ON,7.0,1.0,2011.0,20112012,75,N,Scheifele,CAN,R,207,2025-2026,961,372,535,907
8470621,Corey Perry,"LAK,TBL",R,72,17,20,37,Peterborough,CAN,1985-05-16,ON,28.0,1.0,2003.0,20052006,75,N,Perry,CAN,R,210,2025-2026,1326,435,468,903
8475158,Ryan O'Reilly,NSH,C,81,25,49,74,Clinton,CAN,1991-02-07,ON,33.0,2.0,2009.0,20092010,73,N,O'Reilly,CAN,L,207,2025-2026,1233,328,570,898
