playerId,skaterFullName,teamAbbrevs,positionCode,gamesPlayed,goals,assists,points,birthCity,birthCountryCode,birthDate,birthStateProvinceCode,draftOverall,draftRound,draftYear,firstSeasonForGameType,height,isInHallOfFameYn,lastName,nationalityCode,shootsCatches,weight
8471215,Evgeni Malkin,PIT,C,82,35,78,113,Magnitogorsk,RUS,1986-07-31,,2.0,1.0,2004.0,20062007,77,N,Malkin,RUS,L,213
8471214,Alex Ovechkin,WSH,L,79,56,54,110,Moscow,RUS,1985-09-17,,1.0,1.0,2004.0,20052006,75,N,Ovechkin,RUS,R,238
8471675,Sidney Crosby,PIT,C,77,33,70,103,Cole Harbour,CAN,1987-08-07,NS,1.0,1.0,2005.0,20052006,71,N,Crosby,CAN,L,200
8467514,Pavel Datsyuk,DET,C,81,32,65,97,Sverdlovsk,RUS,1978-07-20,,171.0,6.0,1998.0,20012002,71,Y,Datsyuk,RUS,L,194
8470610,Zach Parise,NJD,L,82,45,49,94,Minneapolis,USA,1984-07-28,MN,17.0,1.0,2003.0,20052006,71,N,Parise,USA,L,195
8469454,Ilya Kovalchuk,ATL,L,79,43,48,91,Tver,RUS,1983-04-15,,1.0,1.0,2001.0,20012002,75,N,Kovalchuk,RUS,R,222
8470612,Ryan Getzlaf,ANA,C,81,25,66,91,Regina,CAN,1985-05-10,SK,19.0,1.0,2003.0,20052006,76,N,Getzlaf,CAN,R,220
8462042,Jarome Iginla,CGY,R,82,35,54,89,Edmonton,CAN,1977-07-01,AB,11.0,1.0,1995.0,19961997,73,Y,Iginla,CAN,R,210
8462118,Marc Savard,BOS,C,82,25,63,88,Ottawa,CAN,1977-07-17,ON,91.0,4.0,1995.0,19971998,70,N,Savard,CAN,L,191
8473563,Nicklas Backstrom,WSH,C,82,22,66,88,Gavle,SWE,1987-11-23,,4.0,1.0,2006.0,20072008,73,N,Backstrom,SWE,L,202
8466138,Joe Thornton,SJS,C,82,25,61,86,London,CAN,1979-07-02,ON,1.0,1.0,1997.0,19971998,76,Y,Thornton,CAN,L,220
8470604,Jeff Carter,PHI,C,82,46,38,84,London,CAN,1985-01-01,ON,11.0,1.0,2003.0,20052006,75,N,Carter,CAN,R,219
8469500,Michael Cammalleri,CGY,L,81,39,43,82,Toronto,CAN,1982-06-08,ON,49.0,2.0,2001.0,20022003,69,N,Cammalleri,CAN,L,185
8467875,Daniel Sedin,VAN,L,82,31,51,82,Ornskoldsvik,SWE,1980-09-26,,2.0,1.0,1999.0,20002001,73,Y,Sedin,SWE,L,190
8467876,Henrik Sedin,VAN,C,82,22,60,82,Ornskoldsvik,SWE,1980-09-26,,3.0,1.0,1999.0,20002001,74,Y,Sedin,SWE,L,183
8466378,Martin St. Louis,TBL,R,82,30,50,80,Laval,CAN,1975-06-18,QC,,,,19981999,68,Y,St. Louis,CAN,L,180
8470617,Mike Richards,PHI,C,79,30,50,80,Kenora,CAN,1985-02-11,ON,24.0,1.0,2003.0,20052006,71,N,Richards,CAN,L,196
8470041,Rick Nash,CBJ,L,78,40,39,79,Brampton,CAN,1984-06-16,ON,1.0,1.0,2002.0,20022003,76,N,Nash,CAN,L,211
8470120,Alexander Semin,WSH,R,62,34,45,79,Krasnojarsk,RUS,1984-03-03,,13.0,1.0,2002.0,20032004,74,N,Semin,RUS,R,211
8460542,Patrik Elias,NJD,C,77,31,47,78,Trebic,CZE,1976-04-13,,51.0,2.0,1994.0,19951996,73,N,Elias,CZE,L,190
8467371,Mike Ribeiro,DAL,C,82,22,56,78,Montréal,CAN,1980-02-10,QC,45.0,2.0,1998.0,19992000,72,N,Ribeiro,CAN,L,179
8467899,Martin Havlat,CHI,R,81,29,48,77,Mlada Boleslav,CZE,1981-04-19,,26.0,1.0,1999.0,20002001,74,N,Havlat,CZE,L,210
8458537,Ray Whitney,CAR,L,82,24,53,77,Fort Saskatchewan,CAN,1972-05-08,AB,23.0,2.0,1991.0,19911992,70,N,Whitney,CAN,R,180
8456887,Vyacheslav Kozlov,ATL,L,82,26,50,76,Voskresensk,RUS,1972-05-03,,45.0,3.0,1990.0,19911992,70,N,Kozlov,RUS,L,190
8470595,Eric Staal,CAR,C,82,40,35,75,Thunder Bay,CAN,1984-10-29,ON,2.0,1.0,2003.0,20032004,76,N,Staal,CAN,L,195
