playerId,skaterFullName,teamAbbrevs,positionCode,gamesPlayed,goals,assists,points,birthCity,birthCountryCode,birthDate,birthStateProvinceCode,draftOverall,draftRound,draftYear,firstSeasonForGameType,height,isInHallOfFameYn,lastName,nationalityCode,shootsCatches,weight
8476453,Nikita Kucherov,TBL,R,82,41,87,128,Maykop,RUS,1993-06-17,,58.0,2.0,2011.0,20132014,72,N,Kucherov,RUS,L,173
8478402,Connor McDavid,EDM,C,78,41,75,116,Richmond Hill,CAN,1997-01-13,ON,1.0,1.0,2015.0,20152016,73,N,McDavid,CAN,L,194
8474141,Patrick Kane,CHI,R,81,44,66,110,Buffalo,USA,1988-11-19,NY,1.0,1.0,2007.0,20072008,70,N,Kane,USA,L,176
8477934,Leon Draisaitl,EDM,C,82,50,55,105,Cologne,DEU,1995-10-27,,3.0,1.0,2014.0,20142015,74,N,Draisaitl,DEU,L,209
8473419,Brad Marchand,BOS,L,79,36,64,100,Halifax,CAN,1988-05-11,NS,71.0,3.0,2006.0,20092010,69,N,Marchand,CAN,L,180
8471675,Sidney Crosby,PIT,C,79,35,65,100,Cole Harbour,CAN,1987-08-07,NS,1.0,1.0,2005.0,20052006,71,N,Crosby,CAN,L,200
8477492,Nathan MacKinnon,COL,C,82,41,58,99,Halifax,CAN,1995-09-01,NS,1.0,1.0,2013.0,20132014,72,N,MacKinnon,CAN,R,200
8476346,Johnny Gaudreau,CGY,L,82,36,63,99,Salem,USA,1993-08-13,NJ,104.0,4.0,2011.0,20132014,69,N,Gaudreau,USA,L,163
8474564,Steven Stamkos,TBL,C,82,45,53,98,Markham,CAN,1990-02-07,ON,1.0,1.0,2008.0,20082009,73,N,Stamkos,CAN,R,193
8477493,Aleksander Barkov,FLA,C,82,35,61,96,Tampere,FIN,1995-09-02,,2.0,1.0,2013.0,20132014,75,N,Barkov,FIN,L,214
8478483,Mitch Marner,TOR,R,82,26,68,94,Markham,CAN,1997-05-05,ON,4.0,1.0,2015.0,20162017,72,N,Marner,CAN,R,180
8478010,Brayden Point,TBL,C,79,41,51,92,Calgary,CAN,1996-03-13,AB,79.0,3.0,2014.0,20162017,71,N,Point,CAN,R,177
8476456,Jonathan Huberdeau,FLA,L,82,30,62,92,Saint-Jerome,CAN,1993-06-04,QC,3.0,1.0,2011.0,20122013,73,N,Huberdeau,CAN,L,200
8471218,Blake Wheeler,WPG,R,82,20,71,91,Plymouth,USA,1986-08-31,MN,5.0,1.0,2004.0,20082009,77,N,Wheeler,USA,R,222
8471214,Alex Ovechkin,WSH,L,81,51,38,89,Moscow,RUS,1985-09-17,,1.0,1.0,2004.0,20052006,75,N,Ovechkin,RUS,R,238
8475166,John Tavares,TOR,C,82,47,41,88,Mississauga,CAN,1990-09-20,ON,1.0,1.0,2009.0,20092010,73,N,Tavares,CAN,L,217
8478420,Mikko Rantanen,COL,R,74,31,56,87,Nousiainen,FIN,1996-10-29,,10.0,1.0,2015.0,20152016,76,N,Rantanen,FIN,L,228
8478550,Artemi Panarin,CBJ,L,79,28,59,87,Korkino,RUS,1991-10-30,,,,,20152016,72,N,Panarin,RUS,R,176
8473512,Claude Giroux,PHI,R,82,22,63,85,Hearst,CAN,1988-01-12,ON,22.0,1.0,2006.0,20072008,71,N,Giroux,CAN,R,186
8476460,Mark Scheifele,WPG,C,82,38,46,84,Kitchener,CAN,1993-03-15,ON,7.0,1.0,2011.0,20112012,75,N,Scheifele,CAN,R,207
8478427,Sebastian Aho,CAR,C,82,30,53,83,Rauma,FIN,1997-07-26,,35.0,2.0,2015.0,20162017,72,N,Aho,FIN,L,189
8470613,Brent Burns,SJS,D,82,16,67,83,Barrie,CAN,1985-03-09,ON,20.0,1.0,2003.0,20032004,77,N,Burns,CAN,R,228
8477497,Sean Monahan,CGY,C,78,34,48,82,Brampton,CAN,1994-10-12,ON,6.0,1.0,2013.0,20132014,74,N,Monahan,CAN,L,206
8478403,Jack Eichel,BUF,C,77,28,54,82,North Chelmsford,USA,1996-10-28,MA,2.0,1.0,2015.0,20152016,74,N,Eichel,USA,R,208
8473548,Phil Kessel,PIT,R,82,27,55,82,Madison,USA,1987-10-02,WI,5.0,1.0,2006.0,20062007,71,N,Kessel,USA,R,208
8477956,David Pastrnak,BOS,R,66,38,43,81,Havirov,CZE,1996-05-25,,25.0,1.0,2014.0,20142015,72,N,Pastrnak,CZE,R,199
8473604,Jonathan Toews,CHI,C,82,35,46,81,Winnipeg,CAN,1988-04-29,MB,3.0,1.0,2006.0,20072008,74,N,Toews,CAN,L,201
8475794,Tyler Seguin,DAL,C,82,33,47,80,Brampton,CAN,1992-01-31,ON,2.0,1.0,2010.0,20102011,74,N,Seguin,CAN,R,205
