playerId,skaterFullName,teamAbbrevs,positionCode,gamesPlayed,goals,assists,points,birthCity,birthCountryCode,birthDate,birthStateProvinceCode,draftOverall,draftRound,draftYear,firstSeasonForGameType,height,isInHallOfFameYn,lastName,nationalityCode,shootsCatches,weight
8478402,Connor McDavid,EDM,C,82,64,89,153,Richmond Hill,CAN,1997-01-13,ON,1.0,1.0,2015.0,20152016,73,N,McDavid,CAN,L,194
8477934,Leon Draisaitl,EDM,C,80,52,76,128,Cologne,DEU,1995-10-27,,3.0,1.0,2014.0,20142015,74,N,Draisaitl,DEU,L,209
8477956,David Pastrnak,BOS,R,82,61,52,113,Havirov,CZE,1996-05-25,,25.0,1.0,2014.0,20142015,72,N,Pastrnak,CZE,R,199
8476453,Nikita Kucherov,TBL,R,82,30,83,113,Maykop,RUS,1993-06-17,,58.0,2.0,2011.0,20132014,72,N,Kucherov,RUS,L,173
8477492,Nathan MacKinnon,COL,C,71,42,69,111,Halifax,CAN,1995-09-01,NS,1.0,1.0,2013.0,20132014,72,N,MacKinnon,CAN,R,200
8480027,Jason Robertson,DAL,L,82,46,63,109,Arcadia,USA,1999-07-22,CA,39.0,2.0,2017.0,20192020,75,N,Robertson,USA,L,204
8479314,Matthew Tkachuk,FLA,L,79,40,69,109,Scottsdale,USA,1997-12-11,AZ,6.0,1.0,2016.0,20162017,74,N,Tkachuk,USA,L,202
8478420,Mikko Rantanen,COL,R,82,55,50,105,Nousiainen,FIN,1996-10-29,,10.0,1.0,2015.0,20152016,76,N,Rantanen,FIN,L,228
8476454,Ryan Nugent-Hopkins,EDM,C,82,37,67,104,Burnaby,CAN,1993-04-12,BC,1.0,1.0,2011.0,20112012,73,N,Nugent-Hopkins,CAN,L,192
8480012,Elias Pettersson,VAN,C,80,39,63,102,Sundsvall,SWE,1998-11-12,,5.0,1.0,2017.0,20182019,74,N,Pettersson,SWE,L,176
8474578,Erik Karlsson,SJS,D,82,25,76,101,Landsbro,SWE,1990-05-31,,15.0,1.0,2008.0,20092010,72,N,Karlsson,SWE,R,185
8481559,Jack Hughes,NJD,C,78,43,56,99,Orlando,USA,2001-05-14,FL,1.0,1.0,2019.0,20192020,71,N,Hughes,USA,L,175
8478483,Mitch Marner,TOR,R,80,30,69,99,Markham,CAN,1997-05-05,ON,4.0,1.0,2015.0,20162017,72,N,Marner,CAN,R,180
8478010,Brayden Point,TBL,C,82,51,44,95,Calgary,CAN,1996-03-13,AB,79.0,3.0,2014.0,20162017,71,N,Point,CAN,R,177
8479420,Tage Thompson,BUF,C,78,47,47,94,Phoenix,USA,1997-10-30,AZ,26.0,1.0,2016.0,20172018,78,N,Thompson,USA,R,220
8471675,Sidney Crosby,PIT,C,82,33,60,93,Cole Harbour,CAN,1987-08-07,NS,1.0,1.0,2005.0,20052006,71,N,Crosby,CAN,L,200
8478550,Artemi Panarin,NYR,L,82,29,63,92,Korkino,RUS,1991-10-30,,,,,20152016,72,N,Panarin,RUS,R,176
8476459,Mika Zibanejad,NYR,C,82,39,52,91,Stockholm,SWE,1993-04-18,,6.0,1.0,2011.0,20112012,74,N,Zibanejad,SWE,R,208
8482116,Tim Stützle,OTT,C,78,39,51,90,Viersen,DEU,2002-01-15,,3.0,1.0,2020.0,20202021,72,N,Stützle,DEU,L,187
8477939,William Nylander,TOR,R,82,40,47,87,Calgary,CAN,1996-05-01,AB,8.0,1.0,2014.0,20152016,72,N,Nylander,SWE,R,200
8479343,Clayton Keller,ARI,R,82,37,49,86,Chesterfield,USA,1998-07-29,MO,7.0,1.0,2016.0,20162017,70,N,Keller,USA,L,175
8479318,Auston Matthews,TOR,C,74,40,45,85,San Ramon,USA,1997-09-17,CA,1.0,1.0,2016.0,20162017,75,N,Matthews,USA,L,215
8474564,Steven Stamkos,TBL,C,81,34,50,84,Markham,CAN,1990-02-07,ON,1.0,1.0,2008.0,20082009,73,N,Stamkos,CAN,R,193
8475786,Zach Hyman,EDM,L,79,36,47,83,Toronto,CAN,1992-06-09,ON,123.0,5.0,2010.0,20152016,73,N,Hyman,CAN,R,206
8480801,Brady Tkachuk,OTT,L,82,35,48,83,Scottsdale,USA,1999-09-16,AZ,4.0,1.0,2018.0,20182019,76,N,Tkachuk,USA,L,226
8471215,Evgeni Malkin,PIT,C,82,27,56,83,Magnitogorsk,RUS,1986-07-31,,2.0,1.0,2004.0,20062007,77,N,Malkin,RUS,L,213
8475784,Jeff Skinner,BUF,L,79,35,47,82,Toronto,CAN,1992-05-16,ON,7.0,1.0,2010.0,20102011,71,N,Skinner,CAN,L,200
8476468,J.T. Miller,VAN,C,81,32,50,82,East Palestine,USA,1993-03-14,OH,15.0,1.0,2011.0,20122013,72,N,Miller,USA,L,211
