playerId,skaterFullName,teamAbbrevs,positionCode,gamesPlayed,goals,assists,points,birthCity,birthCountryCode,birthDate,birthStateProvinceCode,draftOverall,draftRound,draftYear,firstSeasonForGameType,height,isInHallOfFameYn,lastName,nationalityCode,shootsCatches,weight
8474141,Patrick Kane,CHI,R,82,46,60,106,Buffalo,USA,1988-11-19,NY,1.0,1.0,2007.0,20072008,70,N,Kane,USA,L,176
8473994,Jamie Benn,DAL,L,82,41,48,89,Victoria,CAN,1989-07-18,BC,129.0,5.0,2007.0,20092010,75,N,Benn,CAN,L,210
8471675,Sidney Crosby,PIT,C,80,36,49,85,Cole Harbour,CAN,1987-08-07,NS,1.0,1.0,2005.0,20052006,71,N,Crosby,CAN,L,200
8466138,Joe Thornton,SJS,C,82,19,63,82,London,CAN,1979-07-02,ON,1.0,1.0,1997.0,19971998,76,Y,Thornton,CAN,L,220
8474578,Erik Karlsson,OTT,D,82,16,66,82,Landsbro,SWE,1990-05-31,,15.0,1.0,2008.0,20092010,72,N,Karlsson,SWE,R,185
8470794,Joe Pavelski,SJS,C,82,38,40,78,Plover,USA,1984-07-11,WI,205.0,7.0,2003.0,20062007,73,N,Pavelski,USA,R,196
8476346,Johnny Gaudreau,CGY,L,79,30,48,78,Salem,USA,1993-08-13,NJ,104.0,4.0,2011.0,20132014,69,N,Gaudreau,USA,L,163
8471218,Blake Wheeler,WPG,R,82,26,52,78,Plymouth,USA,1986-08-31,MN,5.0,1.0,2004.0,20082009,77,N,Wheeler,USA,R,222
8478550,Artemi Panarin,CHI,L,80,30,47,77,Korkino,RUS,1991-10-30,,,,,20152016,72,N,Panarin,RUS,R,176
8475744,Evgeny Kuznetsov,WSH,C,82,20,57,77,Chelyabinsk,RUS,1992-05-19,,26.0,1.0,2010.0,20132014,74,N,Kuznetsov,RUS,L,207
8470613,Brent Burns,SJS,D,82,27,48,75,Barrie,CAN,1985-03-09,ON,20.0,1.0,2003.0,20032004,77,N,Burns,CAN,R,228
8475765,Vladimir Tarasenko,STL,R,80,40,34,74,Yaroslavl,RUS,1991-12-13,,16.0,1.0,2010.0,20122013,73,N,Tarasenko,RUS,L,219
8471685,Anze Kopitar,LAK,C,81,25,49,74,Jesenice,SVN,1987-08-24,,11.0,1.0,2005.0,20062007,75,N,Kopitar,SVN,L,225
8475794,Tyler Seguin,DAL,C,72,33,40,73,Brampton,CAN,1992-01-31,ON,2.0,1.0,2010.0,20102011,74,N,Seguin,CAN,R,205
8471214,Alex Ovechkin,WSH,L,79,50,21,71,Moscow,RUS,1985-09-17,,1.0,1.0,2004.0,20052006,75,N,Ovechkin,RUS,R,238
8475166,John Tavares,NYI,C,78,33,37,70,Mississauga,CAN,1990-09-20,ON,1.0,1.0,2009.0,20092010,73,N,Tavares,CAN,L,217
8473563,Nicklas Backstrom,WSH,C,75,20,50,70,Gavle,SWE,1987-11-23,,4.0,1.0,2006.0,20072008,73,N,Backstrom,SWE,L,202
8470638,Patrice Bergeron,BOS,C,80,32,36,68,L'Ancienne-Lorette,CAN,1985-07-24,QC,45.0,2.0,2003.0,20032004,73,N,Bergeron,CAN,R,196
8473512,Claude Giroux,PHI,R,78,22,45,67,Hearst,CAN,1988-01-12,ON,22.0,1.0,2006.0,20072008,71,N,Giroux,CAN,R,186
8471724,Kris Letang,PIT,D,71,16,51,67,Montréal,CAN,1987-04-24,QC,62.0,3.0,2005.0,20062007,72,N,Letang,CAN,R,199
8476453,Nikita Kucherov,TBL,R,77,30,36,66,Maykop,RUS,1993-06-17,,58.0,2.0,2011.0,20132014,72,N,Kucherov,RUS,L,173
8448208,Jaromir Jagr,FLA,R,79,27,39,66,Kladno,CZE,1972-02-15,,5.0,1.0,1990.0,19901991,75,N,Jagr,CZE,L,230
8475791,Taylor Hall,EDM,L,82,26,39,65,Calgary,CAN,1991-11-14,AB,1.0,1.0,2010.0,20102011,73,N,Hall,CAN,L,210
8474564,Steven Stamkos,TBL,C,77,36,28,64,Markham,CAN,1990-02-07,ON,1.0,1.0,2008.0,20082009,73,N,Stamkos,CAN,R,193
8476887,Filip Forsberg,NSH,L,82,33,31,64,Ostervala,SWE,1994-08-13,,11.0,1.0,2012.0,20122013,73,N,Forsberg,SWE,R,205
8474157,Max Pacioretty,MTL,L,82,30,34,64,New Canaan,USA,1988-11-20,CT,22.0,1.0,2007.0,20082009,74,N,Pacioretty,USA,L,217
8473449,Kyle Okposo,NYI,R,79,22,42,64,St. Paul,USA,1988-04-16,MN,7.0,1.0,2006.0,20072008,72,N,Okposo,USA,R,216
8469455,Jason Spezza,DAL,C,75,33,30,63,Toronto,CAN,1983-06-13,ON,2.0,1.0,2001.0,20022003,75,N,Spezza,CAN,R,219
8470626,Loui Eriksson,BOS,L,82,30,33,63,Gothenburg,SWE,1985-07-17,,33.0,2.0,2003.0,20062007,74,N,Eriksson,SWE,L,179
8477497,Sean Monahan,CGY,C,81,27,36,63,Brampton,CAN,1994-10-12,ON,6.0,1.0,2013.0,20132014,74,N,Monahan,CAN,L,206
8471276,David Krejci,BOS,C,72,17,46,63,Sternberk,CZE,1986-04-28,,63.0,2.0,2004.0,20062007,72,N,Krejci,CZE,R,192
8470612,Ryan Getzlaf,ANA,C,77,13,50,63,Regina,CAN,1985-05-10,SK,19.0,1.0,2003.0,20052006,76,N,Getzlaf,CAN,R,220
8470621,Corey Perry,ANA,R,82,34,28,62,Peterborough,CAN,1985-05-16,ON,28.0,1.0,2003.0,20052006,75,N,Perry,CAN,R,210
8470604,Jeff Carter,LAK,C,77,24,38,62,London,CAN,1985-01-01,ON,11.0,1.0,2003.0,20052006,75,N,Carter,CAN,R,219
8473419,Brad Marchand,BOS,L,77,37,24,61,Halifax,CAN,1988-05-11,NS,71.0,3.0,2006.0,20092010,69,N,Marchand,CAN,L,180
8476460,Mark Scheifele,WPG,C,71,29,32,61,Kitchener,CAN,1993-03-15,ON,7.0,1.0,2011.0,20112012,75,N,Scheifele,CAN,R,207
8467875,Daniel Sedin,VAN,L,82,28,33,61,Ornskoldsvik,SWE,1980-09-26,,2.0,1.0,1999.0,20002001,73,Y,Sedin,SWE,L,190
8475692,Mats Zuccarello,NYR,R,81,26,35,61,Oslo,NOR,1987-09-01,,,,,20102011,68,N,Zuccarello,NOR,L,181
8475913,Mark Stone,OTT,R,75,23,38,61,Winnipeg,CAN,1992-05-13,MB,178.0,6.0,2010.0,20122013,75,N,Stone,CAN,R,210
8474600,Roman Josi,NSH,D,81,14,47,61,Bern,CHE,1990-06-01,,38.0,2.0,2008.0,20112012,73,N,Josi,CHE,L,201
8474190,Wayne Simmonds,PHI,R,81,32,28,60,Scarborough,CAN,1988-08-26,ON,61.0,2.0,2007.0,20082009,74,N,Simmonds,CAN,R,184
8475158,Ryan O'Reilly,BUF,C,71,21,39,60,Clinton,CAN,1991-02-07,ON,33.0,2.0,2009.0,20092010,73,N,O'Reilly,CAN,L,207
8469638,Jussi Jokinen,FLA,L,81,18,42,60,Kalajoki,FIN,1983-04-01,,192.0,6.0,2001.0,20052006,72,N,Jokinen,FIN,L,191
