playerId,goalieFullName,teamAbbrevs,positionCode,gamesPlayed,savePct,wins,losses,otLosses,assists,gamesStarted,goals,goalsAgainst,goalsAgainstAverage,lastName,penaltyMinutes,points,saves,shootsCatches,shotsAgainst,shutouts,ties,timeOnIce,evGoalsAgainst,evSavePct,evSaves,evShotsAgainst,ppGoalsAgainst,ppSavePct,ppSaves,ppShotsAgainst,shGoalsAgainst,shSavePct,shSaves,shShotsAgainst
8455710,Martin Brodeur,NJD,G,77,0.91616,45,25,6,3,76,0,168,2.24044,Brodeur,6,3,1836,L,2004,9,,269946,128,0.924215,1561,1689,36,0.864661,230,266,4,0.918367,45,49
8460705,Evgeni Nabokov,SJS,G,71,0.92158,44,16,10,0,71,0,170,2.43196,Nabokov,6,0,1998,L,2168,3,,251648,122,0.927725,1566,1688,42,0.898305,371,413,6,0.910447,61,67
8468524,Ilya Bryzgalov,PHX,G,69,0.92044,42,20,6,1,69,0,156,2.29169,Bryzgalov,4,1,1805,L,1961,8,,245059,110,0.928057,1419,1529,40,0.894179,338,378,6,0.888888,48,54
8468011,Ryan Miller,BUF,G,69,0.9285,41,18,8,0,68,0,150,2.22365,Miller,4,0,1948,L,2098,5,,242843,121,0.928402,1569,1690,26,0.919003,295,321,3,0.965517,84,87
8466141,Roberto Luongo,VAN,G,68,0.91279,40,22,4,0,67,0,167,2.56942,Luongo,0,0,1748,L,1915,4,,233982,113,0.924916,1392,1505,49,0.86,301,350,5,0.916666,55,60
8471734,Jonathan Quick,LAK,G,72,0.90659,39,24,7,1,72,0,180,2.53605,Quick,2,1,1747,L,1927,4,,255515,124,0.918741,1402,1526,51,0.853025,296,347,5,0.907407,49,54
8467950,Craig Anderson,COL,G,71,0.9167,38,25,7,3,71,0,186,2.63496,Anderson,16,3,2047,L,2233,7,,254121,130,0.925925,1625,1755,49,0.878712,355,404,7,0.905405,67,74
8470594,Marc-Andre Fleury,PIT,G,67,0.90519,37,21,6,1,66,0,168,2.65383,Fleury,10,1,1604,L,1772,1,,227897,127,0.90817,1256,1383,37,0.891176,303,340,4,0.918367,45,49
8470657,Jimmy Howard,DET,G,63,0.92374,37,15,10,2,61,0,141,2.26185,Howard,2,2,1708,L,1849,3,,224418,112,0.925482,1391,1503,28,0.905405,268,296,1,0.98,49,50
8462147,Miikka Kiprusoff,CGY,G,73,0.9199,35,28,10,0,72,0,163,2.30914,Kiprusoff,4,0,1872,L,2035,4,,254120,115,0.928482,1493,1608,47,0.879177,342,389,1,0.973684,37,38
8468685,Henrik Lundqvist,NYR,G,73,0.92081,35,27,10,1,72,0,167,2.38354,Lundqvist,0,1,1942,L,2109,4,,252229,122,0.928862,1593,1715,39,0.882882,294,333,6,0.901639,55,61
8471469,Pekka Rinne,NSH,G,58,0.91109,32,16,5,0,54,0,137,2.53259,Rinne,2,0,1404,L,1541,7,,194741,95,0.92549,1180,1275,38,0.835497,193,231,4,0.885714,31,35
8460535,Jose Theodore,WSH,G,47,0.9105,30,7,7,2,43,0,121,2.80782,Theodore,0,2,1231,R,1352,1,,155138,80,0.92417,975,1055,37,0.856589,221,258,4,0.897435,35,39
8462152,Chris Mason,STL,G,61,0.91288,30,22,8,0,61,0,148,2.52836,Mason,0,0,1551,L,1699,2,,210729,110,0.916792,1212,1322,34,0.898809,302,336,4,0.902439,37,41
8473972,Jonas Hiller,ANA,G,59,0.91827,30,23,4,2,58,0,152,2.73239,Hiller,0,2,1708,R,1860,2,,200264,104,0.929634,1374,1478,41,0.873846,284,325,7,0.877192,50,57
8470880,Brian Elliott,OTT,G,55,0.9087,29,18,4,1,48,0,130,2.56753,Elliott,0,1,1294,L,1424,5,,182276,101,0.907254,988,1089,27,0.903914,254,281,2,0.962962,52,54
8469658,Cristobal Huet,CHI,G,48,0.89473,26,14,4,0,46,0,114,2.50373,Huet,4,0,969,L,1083,4,,163915,91,0.895761,782,873,22,0.88601,171,193,1,0.941176,16,17
8470860,Jaroslav Halak,MTL,G,45,0.92424,26,13,5,0,43,0,105,2.39549,Halak,0,0,1281,L,1386,5,,157796,75,0.933392,1051,1126,24,0.892376,199,223,6,0.837837,31,37
8473404,Niklas Backstrom,MIN,G,60,0.90318,26,23,8,1,58,0,158,2.71666,Backstrom,4,1,1474,L,1632,2,,209374,117,0.911631,1207,1324,31,0.879844,227,258,10,0.8,40,50
8474550,Antti Niemi,CHI,G,39,0.91239,26,7,4,1,35,0,82,2.24563,Niemi,0,1,854,L,936,7,,131455,64,0.914209,682,746,17,0.899408,152,169,1,0.95238,20,21
8460712,Tomas Vokoun,FLA,G,63,0.92455,23,28,11,2,62,0,157,2.54937,Vokoun,0,2,1924,R,2081,7,,221701,106,0.936942,1575,1681,46,0.861027,285,331,5,0.927536,64,69
8460806,Dwayne Roloson,NYI,G,50,0.90675,23,18,7,0,49,0,145,3.00279,Roloson,14,0,1410,L,1555,1,,173838,107,0.915213,1155,1262,37,0.856589,221,258,1,0.971428,34,35
8460612,Marty Turco,DAL,G,53,0.91277,22,20,11,4,52,0,140,2.72033,Turco,10,4,1465,L,1605,4,,185271,93,0.925837,1161,1254,43,0.855218,254,297,4,0.925925,50,54
8471695,Tuukka Rask,BOS,G,45,0.9312,22,12,5,3,39,0,84,1.96707,Rask,2,3,1137,L,1221,5,,153731,62,0.937246,926,988,21,0.891191,172,193,1,0.975,39,40
8460704,Johan Hedberg,ATL,G,47,0.91512,21,16,6,1,42,0,115,2.62163,Hedberg,6,1,1240,L,1355,3,,157917,83,0.920574,962,1045,31,0.880769,229,260,1,0.98,49,50
8467511,Antero Niittymaki,TBL,G,49,0.9085,21,18,5,1,46,0,127,2.86769,Niittymaki,0,1,1261,L,1388,1,,159431,84,0.918918,952,1036,40,0.869281,266,306,3,0.934782,43,46
8473461,Steve Mason,CBJ,G,58,0.90139,20,26,9,2,55,0,163,3.05419,Mason,2,2,1490,R,1653,5,,192129,117,0.910618,1192,1309,42,0.860927,260,302,4,0.904761,38,42
8470320,Cam Ward,CAR,G,47,0.91554,18,23,5,3,45,0,119,2.69317,Ward,0,3,1290,L,1409,0,,159069,83,0.9242,1012,1095,32,0.883211,242,274,4,0.9,36,40
8460703,Tim Thomas,BOS,G,43,0.91482,17,18,8,0,43,0,104,2.55542,Thomas,8,0,1117,L,1221,5,,146512,86,0.912955,902,988,16,0.918781,181,197,2,0.944444,34,36
8468038,Michael Leighton,"CAR,PHI",G,34,0.90545,17,9,2,1,31,0,85,2.83425,Leighton,0,1,814,L,899,1,,107965,69,0.903899,649,718,15,0.90625,145,160,1,0.95238,20,21
