,PlayerID,Player,Team,Position,Headshot,Team Logo,playerStripped,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position,Last Season
0,8482733.0,Logan Mailloux,MTL,D,https://assets.nhle.com/mugs/nhl/20232024/MTL/8482733.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,loganmailloux,28,1993-01-01,-,-,-,-,-,-,-,-,-,-,-,2023-2024
1,8483471.0,Brad Lambert,WPG,C,https://assets.nhle.com/mugs/nhl/20232024/WPG/8483471.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,bradlambert,28,1993-01-01,-,-,-,-,-,-,-,-,-,-,-,2023-2024
2,8482126.0,Emil Andrae,PHI,D,https://assets.nhle.com/mugs/nhl/20232024/PHI/8482126.png,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,emilandrae,28,1993-01-01,-,-,-,-,-,-,-,-,-,-,-,2023-2024
3,8483398.0,Declan Carlile,TBL,D,https://assets.nhle.com/mugs/nhl/20232024/TBL/8483398.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,declancarlile,28,1993-01-01,-,-,-,-,-,-,-,-,-,-,-,2023-2024
4,8483489.0,Fraser Minten,TOR,C,https://assets.nhle.com/mugs/nhl/20232024/TOR/8483489.png,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,fraserminten,28,1993-01-01,-,-,-,-,-,-,-,-,-,-,-,2023-2024
5,8482787.0,Nikita Chibrikov,WPG,R,https://assets.nhle.com/mugs/nhl/20232024/WPG/8482787.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,nikitachibrikov,28,1993-01-01,-,-,-,-,-,-,-,-,-,-,-,2023-2024
6,8483432.0,Luca Del Bel Belluz,CBJ,C,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8483432.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,lucadelbelbelluz,28,1993-01-01,-,-,-,-,-,-,-,-,-,-,-,2023-2024
7,8484259.0,Ondrej Pavel,COL,C,https://assets.nhle.com/mugs/nhl/20232024/COL/8484259.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,ondrejpavel,28,1993-01-01,-,-,-,-,-,-,-,-,-,-,-,2023-2024
8,8483045.0,Cameron Butler,CBJ,R,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8483045.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,cambutler,28,1993-01-01,-,-,-,-,-,-,-,-,-,-,-,2023-2024
9,8446053.0,Chris Chelios,ATL,D,https://assets.nhle.com/mugs/nhl/20092010/ATL/8446053.png,https://assets.nhle.com/logos/nhl/svg/ATL_19992000-20102011_light.svg,chrischelios,61,1962-01-25,Chicago,IL,USA,USA,72,191,1981,MTL,2,19,40,2009-2010
