playerId,goalieFullName,teamAbbrevs,positionCode,gamesPlayed,wins,losses,otLosses,birthCity,birthCountryCode,birthDate,birthStateProvinceCode,draftOverall,draftRound,draftYear,firstSeasonForGameType,height,isInHallOfFameYn,lastName,nationalityCode,shootsCatches,shutouts,ties,weight
8473575,Semyon Varlamov,COL,G,63,41,14,6,Samara,RUS,1988-04-27,,23.0,1.0,2006.0,20082009,74,N,Varlamov,RUS,L,2,,201
8470594,Marc-Andre Fleury,PIT,G,64,39,18,5,Sorel,CAN,1984-11-28,QC,1.0,1.0,2003.0,20032004,74,N,Fleury,CAN,L,5,,185
8474550,Antti Niemi,SJS,G,64,39,17,7,Vantaa,FIN,1983-08-29,,,,,20082009,74,N,Niemi,FIN,L,4,,209
8471750,Ben Bishop,TBL,G,63,37,14,7,Denver,USA,1986-11-21,CO,85.0,3.0,2005.0,20082009,79,N,Bishop,USA,L,5,,210
8471695,Tuukka Rask,BOS,G,58,36,15,6,Savonlinna,FIN,1987-03-10,,21.0,1.0,2005.0,20072008,75,N,Rask,FIN,L,7,,176
8471679,Carey Price,MTL,G,59,34,20,5,Anahim Lake,CAN,1987-08-16,BC,5.0,1.0,2005.0,20072008,75,N,Price,CAN,L,6,,217
8468685,Henrik Lundqvist,NYR,G,63,33,24,5,Are,SWE,1982-03-02,,205.0,7.0,2000.0,20052006,73,Y,Lundqvist,SWE,L,5,,182
8470140,Kari Lehtonen,DAL,G,65,33,20,10,Helsinki,FIN,1983-11-16,,2.0,1.0,2002.0,20032004,76,N,Lehtonen,FIN,L,5,,209
8473461,Steve Mason,PHI,G,61,33,18,7,Oakville,CAN,1988-05-29,ON,69.0,3.0,2006.0,20082009,76,N,Mason,CAN,R,4,,210
8470645,Corey Crawford,CHI,G,59,32,16,10,Montréal,CAN,1984-12-31,QC,52.0,2.0,2003.0,20052006,74,N,Crawford,CAN,L,2,,216
8475683,Sergei Bobrovsky,CBJ,G,58,32,20,5,Novokuznetsk,RUS,1988-09-20,,,,,20102011,74,N,Bobrovsky,RUS,L,5,,180
8470860,Jaroslav Halak,"STL,WSH",G,52,29,13,7,Bratislava,SVK,1985-05-13,,271.0,9.0,2003.0,20062007,71,N,Halak,SVK,L,5,,189
8473972,Jonas Hiller,ANA,G,50,29,13,7,Felben Wellhausen,CHE,1982-02-12,,,,,20072008,74,N,Hiller,CHE,R,5,,191
8469608,Mike Smith,PHX,G,62,27,21,10,Kingston,CAN,1982-03-22,ON,161.0,5.0,2001.0,20062007,77,N,Smith,CAN,L,3,,220
8471734,Jonathan Quick,LAK,G,49,27,17,4,Milford,USA,1986-01-21,CT,72.0,3.0,2005.0,20072008,73,N,Quick,USA,L,6,,219
8473541,Jonathan Bernier,TOR,G,55,26,19,7,Laval,CAN,1988-08-07,QC,11.0,1.0,2006.0,20072008,72,N,Bernier,CAN,L,1,,185
8466141,Roberto Luongo,"VAN,FLA",G,56,25,23,7,Montréal,CAN,1979-04-04,QC,4.0,1.0,1997.0,19992000,75,Y,Luongo,CAN,L,4,,215
8467950,Craig Anderson,OTT,G,53,25,16,8,Park Ridge,USA,1981-05-21,IL,73.0,3.0,2001.0,20022003,74,N,Anderson,USA,L,4,,187
8468011,Ryan Miller,"BUF,STL",G,59,25,30,4,East Lansing,USA,1980-07-17,MI,138.0,5.0,1999.0,20022003,74,N,Miller,USA,L,1,,170
8474651,Braden Holtby,WSH,G,48,23,15,4,Lloydminster,CAN,1989-09-16,SK,93.0,4.0,2008.0,20102011,73,N,Holtby,CAN,L,4,,215
8471715,Ondrej Pavelec,WPG,G,57,22,26,7,Kladno,CZE,1987-08-31,,41.0,2.0,2005.0,20072008,75,N,Pavelec,CZE,L,1,,212
8470657,Jimmy Howard,DET,G,51,21,19,11,Syracuse,USA,1984-03-26,NY,64.0,2.0,2003.0,20052006,73,N,Howard,USA,L,2,,218
8475622,Carter Hutton,NSH,G,40,20,11,4,Thunder Bay,CAN,1985-12-19,ON,,,,20122013,72,N,Hutton,CAN,L,1,,211
8475883,Frederik Andersen,ANA,G,28,20,5,0,Herning,DNK,1989-10-02,,87.0,3.0,2012.0,20132014,76,N,Andersen,DNK,L,0,,229
8455710,Martin Brodeur,NJD,G,39,19,14,6,Montréal,CAN,1972-05-06,QC,20.0,1.0,1990.0,19911992,74,Y,Brodeur,CAN,L,3,,220
8471418,Anton Khudobin,CAR,G,36,19,14,1,Ust-Kamenogorsk,KAZ,1986-05-07,,206.0,7.0,2004.0,20092010,71,N,Khudobin,RUS,L,1,,210
8460703,Tim Thomas,"FLA,DAL",G,48,18,24,4,Flint,USA,1974-04-15,MI,217.0,9.0,1994.0,20022003,71,N,Thomas,USA,L,0,,201
8470216,Josh Harding,MIN,G,29,18,7,3,Regina,CAN,1984-06-18,SK,38.0,2.0,2002.0,20022003,74,N,Harding,CAN,R,3,,194
8470880,Brian Elliott,STL,G,31,18,6,2,Newmarket,CAN,1985-04-09,ON,291.0,9.0,2003.0,20072008,74,N,Elliott,CAN,L,4,,221
8471403,Karri Ramo,CGY,G,40,17,15,4,Asikkala,FIN,1986-07-01,,191.0,6.0,2004.0,20062007,74,N,Ramo,FIN,L,2,,206
8473434,Chad Johnson,BOS,G,27,17,4,3,Saskatoon,CAN,1986-06-10,SK,125.0,5.0,2006.0,20092010,75,N,Johnson,CAN,L,2,,197
8471239,Cory Schneider,NJD,G,45,16,15,12,Marblehead,USA,1986-03-18,MA,26.0,1.0,2004.0,20082009,75,N,Schneider,USA,L,3,,214
8475361,Jonas Gustavsson,DET,G,27,16,5,4,Danderyd,SWE,1984-10-24,,,,,20092010,76,N,Gustavsson,SWE,L,0,,201
8475663,Eddie Lack,VAN,G,41,16,17,5,Norrtalje,SWE,1988-01-05,,,,,20132014,76,N,Lack,SWE,L,4,,187
8475681,Ben Scrivens,"LAK,EDM",G,40,16,16,4,Spruce Grove,CAN,1986-09-11,AB,,,,20112012,74,N,Scrivens,CAN,L,4,,181
8460705,Evgeni Nabokov,NYI,G,40,15,14,8,Kamenogorsk,KAZ,1975-07-25,,219.0,9.0,1994.0,19992000,72,N,Nabokov,RUS,L,4,,202
8471219,Al Montoya,WPG,G,28,13,8,3,Chicago,USA,1985-02-13,IL,6.0,1.0,2004.0,20082009,74,N,Montoya,USA,L,2,,200
8477293,Antti Raanta,CHI,G,25,13,5,4,Rauma,FIN,1989-05-12,,,,,20132014,72,N,Raanta,FIN,L,1,,195
8468524,Ilya Bryzgalov,"EDM,MIN",G,32,12,9,8,Togliatti,RUS,1980-06-22,,44.0,2.0,2000.0,20012002,75,N,Bryzgalov,RUS,L,4,,213
8471774,Alex Stalock,SJS,G,24,12,5,2,Saint Paul,USA,1987-07-28,MN,112.0,4.0,2005.0,20102011,71,N,Stalock,USA,L,2,,170
8473503,James Reimer,TOR,G,36,12,16,1,Morweena,CAN,1988-03-15,MB,99.0,4.0,2006.0,20102011,74,N,Reimer,CAN,L,1,,200
8473553,Jeff Zatkoff,PIT,G,20,12,6,2,Detroit,USA,1987-06-09,MI,74.0,3.0,2006.0,20132014,74,N,Zatkoff,USA,L,1,,186
8474889,Martin Jones,LAK,G,19,12,6,0,North Vancouver,CAN,1990-01-10,BC,,,,20132014,77,N,Jones,CAN,L,4,,203
8475215,Robin Lehner,OTT,G,36,12,15,6,Gothenburg,SWE,1991-07-24,,46.0,2.0,2009.0,20102011,76,N,Lehner,SWE,L,1,,250
8475311,Darcy Kuemper,MIN,G,26,12,8,4,Saskatoon,CAN,1990-05-05,SK,161.0,6.0,2009.0,20122013,77,N,Kuemper,CAN,L,2,,215
