,GameID,DatetimeEST,Date,TimeEST,Home Team,Home Abbreviation,Visiting Team,Visiting Abbreviation,Home Score,Visiting Score,Home Win,Visitor Win,Overtime
0,2024020001,2024-10-04T13:00:00,2024-10-04,13:00:00,Buffalo Sabres,BUF,New Jersey Devils,NJD,3.267289629416688,3.7269790474868576,0.43854595972860705,0.5614540402713929,0.15166049522779573
1,2024020002,2024-10-05T10:00:00,2024-10-05,10:00:00,New Jersey Devils,NJD,Buffalo Sabres,BUF,3.922609747243917,3.104341439895447,0.6075181793421113,0.3924818206578888,0.14678397211084068
2,2024020003,2024-10-08T16:30:00,2024-10-08,16:30:00,Seattle Kraken,SEA,St. Louis Blues,STL,3.7304009023244546,2.8776440314104392,0.6161879762374607,0.3838120237625393,0.15057354892848704
3,2024020004,2024-10-08T19:00:00,2024-10-08,19:00:00,Florida Panthers,FLA,Boston Bruins,BOS,3.4811242606057586,2.8546037570315037,0.5885942271983093,0.4114057728016906,0.1574128983943829
4,2024020005,2024-10-08T22:00:00,2024-10-08,22:00:00,Utah Hockey Club,UTA,Chicago Blackhawks,CHI,3.977929203079343,3.6759852346488824,0.5381378144950674,0.46186218550493263,0.14592828418737458
5,2024020006,2024-10-09T19:00:00,2024-10-09,19:00:00,Montréal Canadiens,MTL,Toronto Maple Leafs,TOR,2.764922113616447,4.951558834923744,0.2569130502699993,0.7430869497300008,0.10884533443454093
6,2024020007,2024-10-09T19:30:00,2024-10-09,19:30:00,Pittsburgh Penguins,PIT,New York Rangers,NYR,3.3903884455345814,3.538844733515127,0.4799120260933432,0.5200879739066567,0.15432217457782857
7,2024020008,2024-10-09T22:00:00,2024-10-09,22:00:00,Edmonton Oilers,EDM,Winnipeg Jets,WPG,3.62172641374282,3.306123193976507,0.5426045937379931,0.4573954062620069,0.15354091791890903
8,2024020009,2024-10-09T22:00:00,2024-10-09,22:00:00,Vancouver Canucks,VAN,Calgary Flames,CGY,4.286625145849521,3.353373108751449,0.615496033563771,0.38450396643622897,0.13925627622567022
9,2024020010,2024-10-09T22:00:00,2024-10-09,22:00:00,Vegas Golden Knights,VGK,Colorado Avalanche,COL,3.3052751776051954,3.7929753654577283,0.4354777251592272,0.5645222748407728,0.15026478040583652
10,2024020011,2024-10-10T19:00:00,2024-10-10,19:00:00,Boston Bruins,BOS,Montréal Canadiens,MTL,4.46088698173247,2.5178796500687644,0.7338415832332156,0.2661584167667844,0.11933411819980083
11,2024020012,2024-10-10T19:00:00,2024-10-10,19:00:00,Buffalo Sabres,BUF,Los Angeles Kings,LAK,3.057068131637153,3.3104166609454553,0.4638674043267499,0.5361325956732501,0.16079045699830966
